Rank,First,Last,Year,Team,Std,Seed,Event,Invited
1,Jillian,Cox,SO,Texas,A,04:30.7,500 Freestyle,Qualified
2,Arabella,Sims,SO,Florida,A,04:31.1,500 Freestyle,Qualified
3,Aurora,Roghair,SR,Stanford,A,04:31.6,500 Freestyle,Qualified
4,Kathryn,Grimes,FR,Virginia,A,04:32.7,500 Freestyle,Qualified
5,Anna,Peplowski,SR,Indiana,A,04:33.9,500 Freestyle,Qualified
6,Ella,Jansen,FR,Tennessee,A,04:34.3,500 Freestyle,Qualified
6,Rachel,Stege,SR,Georgia,A,04:34.3,500 Freestyle,Qualified
8,Julie,Brousseau,FR,Florida,A,04:34.6,500 Freestyle,Qualified
9,Hannah,Bellard,SO,Michigan,A,04:34.8,500 Freestyle,Qualified
10,Rebecca,Diaconescu,FR,Michigan,A,04:35.0,500 Freestyle,Qualified
11,Dune,Coetzee,SR,Georgia,A,04:35.2,500 Freestyle,Qualified
12,Claire,Tuggle,JR,Southern Cali,A,04:35.4,500 Freestyle,Qualified
12,Aimee,Canny,JR,Virginia,A,04:35.4,500 Freestyle,Qualified
14,Emma,Weyant,SR,Florida,A,04:35.6,500 Freestyle,Qualified
15,Cavan,Gormsen,SO,Virginia,A,04:35.6,500 Freestyle,Qualified
16,Abigail,McCulloh,SR,Georgia,A,04:36.2,500 Freestyle,Qualified
17,Lillian,Nesty,FR,Texas,A,04:36.7,500 Freestyle,Qualified
18,Mila,Nikanorov,FR,Ohio St,B,04:37.4,500 Freestyle,Qualified
19,Ching,Gan,SR,Indiana,B,04:37.5,500 Freestyle,Qualified
20,Kate,Hurst,FR,Texas,B,04:37.6,500 Freestyle,Qualified
21,Abby,Carlson,SR,Wisconsin,B,04:37.6,500 Freestyle,Qualified
22,Michaela,Mattes,SO,Florida,B,04:37.9,500 Freestyle,Qualified
23,Erin,Gemmell,SO,Texas,B,04:38.2,500 Freestyle,Qualified
24,Julia,Mrozinski,SR,Tennessee,B,04:38.7,500 Freestyle,Qualified
25,Alexandra,Bastone,SO,Harvard,B,04:38.7,500 Freestyle,Qualified
26,Daria,Golovaty,FR,Louisville,B,04:38.8,500 Freestyle,Qualified
27,Kayla,Wilson,JR,Stanford,B,04:38.8,500 Freestyle,Qualified
28,Natalie,Mannion,JR,Stanford,B,04:38.9,500 Freestyle,Qualified
29,Mabel,Zavaros,Grad,Florida,B,04:39.0,500 Freestyle,Qualified
30,Kate,McCarville,SR,Tennessee,B,04:39.0,500 Freestyle,Qualified
31,Breckin,Gormley,JR,South Carolina,B,04:39.0,500 Freestyle,Qualified
32,Justina,Kozan,JR,Southern Cali,B,04:39.1,500 Freestyle,Qualified
33,Alexa,Reyna,SO,Arizona St,B,04:39.2,500 Freestyle,Qualified
34,Genevieve,Jorgenson,JR,Nebraska,B,04:39.3,500 Freestyle,Qualified
35,Shea,Furse,JR,Georgia,B,04:39.3,500 Freestyle,Qualified
36,Bailey,Hartman,FR,Virginia,B,04:39.4,500 Freestyle,Qualified
37,Hayden,Miller,JR,Texas A&M,B,04:39.4,500 Freestyle,Qualified
38,Chase,Travis,Grad,NC State,B,04:39.5,500 Freestyle,Qualified
